Processo{idProcesso=null, pid=12688, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.569469, idComponente=null, valor=30.038669378507453}
Processo{idProcesso=null, pid=9400, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.593406, idComponente=null, valor=2.361150025671512}
Processo{idProcesso=null, pid=4428, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.617342, idComponente=null, valor=2.347116588345569}
Processo{idProcesso=null, pid=16324, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.641275, idComponente=null, valor=2.1610525658688418}
Processo{idProcesso=null, pid=28004, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.665214, idComponente=null, valor=1.3897458157370965}
Processo{idProcesso=null, pid=2696, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.691143, idComponente=null, valor=1.374938119800067}
Processo{idProcesso=null, pid=0, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.743004, idComponente=null, valor=9.678232638581403E-5}
Processo{idProcesso=null, pid=28004, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.765942, idComponente=null, valor=1.3897458157370965}
Processo{idProcesso=null, pid=12688, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.791872, idComponente=null, valor=30.038669378507453}
Processo{idProcesso=null, pid=13892, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.814810, idComponente=null, valor=1.0745741698616933}
Processo{idProcesso=null, pid=18084, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.840743, idComponente=null, valor=0.04471343479024608}
Processo{idProcesso=null, pid=32028, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.864677, idComponente=null, valor=1.3038998922328795}
Processo{idProcesso=null, pid=12688, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.569469, idComponente=null, valor=30.038669378507453}
Processo{idProcesso=null, pid=9400, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.593406, idComponente=null, valor=2.361150025671512}
Processo{idProcesso=null, pid=4428, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.617342, idComponente=null, valor=2.347116588345569}
Processo{idProcesso=null, pid=16324, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.641275, idComponente=null, valor=2.1610525658688418}
Processo{idProcesso=null, pid=28004, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.665214, idComponente=null, valor=1.3897458157370965}
Processo{idProcesso=null, pid=2696, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.691143, idComponente=null, valor=1.374938119800067}
Processo{idProcesso=null, pid=0, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.743004, idComponente=null, valor=9.678232638581403E-5}
Processo{idProcesso=null, pid=28004, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.765942, idComponente=null, valor=1.3897458157370965}
Processo{idProcesso=null, pid=12688, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.791872, idComponente=null, valor=30.038669378507453}
Processo{idProcesso=null, pid=13892, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.814810, idComponente=null, valor=1.0745741698616933}
Processo{idProcesso=null, pid=18084, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.840743, idComponente=null, valor=0.04471343479024608}
Processo{idProcesso=null, pid=32028, nome='null', fkTelevisao=null, dataHora=2024-05-27T21:00:25.864677, idComponente=null, valor=1.3038998922328795}
