Processo{idLog=1, pid=12688, nomeProcesso='null', dataHora=2024-05-27T21:00:25.569469, idComponente=null, valor=30.038669378507453}
Processo{idLog=2, pid=9400, nomeProcesso='null', dataHora=2024-05-27T21:00:25.593406, idComponente=null, valor=2.361150025671512}
Processo{idLog=3, pid=4428, nomeProcesso='null', dataHora=2024-05-27T21:00:25.617342, idComponente=null, valor=2.347116588345569}
Processo{idLog=4, pid=16324, nomeProcesso='null', dataHora=2024-05-27T21:00:25.641275, idComponente=null, valor=2.1610525658688418}
Processo{idLog=5, pid=28004, nomeProcesso='null', dataHora=2024-05-27T21:00:25.665214, idComponente=null, valor=1.3897458157370965}
Processo{idLog=6, pid=2696, nomeProcesso='null', dataHora=2024-05-27T21:00:25.691143, idComponente=null, valor=1.374938119800067}
Processo{idLog=7, pid=0, nomeProcesso='null', dataHora=2024-05-27T21:00:25.743004, idComponente=null, valor=9.678232638581403E-5}
Processo{idLog=8, pid=28004, nomeProcesso='null', dataHora=2024-05-27T21:00:25.765942, idComponente=null, valor=1.3897458157370965}
Processo{idLog=9, pid=12688, nomeProcesso='null', dataHora=2024-05-27T21:00:25.791872, idComponente=null, valor=30.038669378507453}
Processo{idLog=10, pid=13892, nomeProcesso='null', dataHora=2024-05-27T21:00:25.814810, idComponente=null, valor=1.0745741698616933}
Processo{idLog=11, pid=18084, nomeProcesso='null', dataHora=2024-05-27T21:00:25.840743, idComponente=null, valor=0.04471343479024608}
Processo{idLog=12, pid=32028, nomeProcesso='null', dataHora=2024-05-27T21:00:25.864677, idComponente=null, valor=1.3038998922328795}
Processo{idLog=1, pid=12688, nomeProcesso='null', dataHora=2024-05-27T21:00:25.569469, idComponente=null, valor=30.038669378507453}
Processo{idLog=2, pid=9400, nomeProcesso='null', dataHora=2024-05-27T21:00:25.593406, idComponente=null, valor=2.361150025671512}
Processo{idLog=3, pid=4428, nomeProcesso='null', dataHora=2024-05-27T21:00:25.617342, idComponente=null, valor=2.347116588345569}
Processo{idLog=4, pid=16324, nomeProcesso='null', dataHora=2024-05-27T21:00:25.641275, idComponente=null, valor=2.1610525658688418}
Processo{idLog=5, pid=28004, nomeProcesso='null', dataHora=2024-05-27T21:00:25.665214, idComponente=null, valor=1.3897458157370965}
Processo{idLog=6, pid=2696, nomeProcesso='null', dataHora=2024-05-27T21:00:25.691143, idComponente=null, valor=1.374938119800067}
Processo{idLog=7, pid=0, nomeProcesso='null', dataHora=2024-05-27T21:00:25.743004, idComponente=null, valor=9.678232638581403E-5}
Processo{idLog=8, pid=28004, nomeProcesso='null', dataHora=2024-05-27T21:00:25.765942, idComponente=null, valor=1.3897458157370965}
Processo{idLog=9, pid=12688, nomeProcesso='null', dataHora=2024-05-27T21:00:25.791872, idComponente=null, valor=30.038669378507453}
Processo{idLog=10, pid=13892, nomeProcesso='null', dataHora=2024-05-27T21:00:25.814810, idComponente=null, valor=1.0745741698616933}
Processo{idLog=11, pid=18084, nomeProcesso='null', dataHora=2024-05-27T21:00:25.840743, idComponente=null, valor=0.04471343479024608}
Processo{idLog=12, pid=32028, nomeProcesso='null', dataHora=2024-05-27T21:00:25.864677, idComponente=null, valor=1.3038998922328795}
